日期,页面名称,功能名称,点击uv,曝光uv,点击率(%
2025/5/20,我的课程页,班课卡片点击,2,3,66.6667
2025/5/20,我的课程页,个人中心点击,2,3,66.6667
2025/5/20,我的课程页,搜索点击,1,3,33.3333
2025/5/20,班课主页,课程环节点击,2,3,66.6667
2025/5/20,班课主页,课件点击,1,3,33.3333
2025/5/20,班课主页,金刚位功能点击,1,3,33.3333
2025/5/20,班课主页,「更多」点击,1,3,33.3333
2025/5/20,班课主页,报告点击,1,3,33.3333
2025/5/21,我的课程页,个人中心点击,14,15,93.3333
2025/5/21,我的课程页,个人中心功能点击,14,15,93.3333
2025/5/21,我的课程页,班课卡片点击,14,15,93.3333
2025/5/21,我的课程页,搜索点击,8,15,53.3333
2025/5/21,我的课程页,我的课程/图书切tab点击,8,15,53.3333
2025/5/21,我的课程页,筛选项点击,4,15,26.6667
2025/5/21,我的课程页,已隐藏课程点击,4,15,26.6667
2025/5/21,我的课程页,班主任辅导点击,3,15,20
2025/5/21,班课主页,直播/录播课程点击,14,15,93.3333
2025/5/21,班课主页,课程环节点击,12,15,80
2025/5/21,班课主页,课程大纲点击,10,15,66.6667
2025/5/21,班课主页,课件点击,8,15,53.3333
2025/5/21,班课主页,「更多」点击,7,15,46.6667
2025/5/21,班课主页,报告点击,6,15,40
2025/5/21,班课主页,金刚位功能点击,6,15,40
2025/5/21,班课主页,工具栏功能点击,5,15,33.3333
2025/5/22,我的课程页,班课卡片点击,8,8,100
2025/5/22,我的课程页,个人中心功能点击,4,8,50
2025/5/22,我的课程页,个人中心点击,4,8,50
2025/5/22,我的课程页,我的课程/图书切tab点击,3,8,37.5
2025/5/22,我的课程页,搜索点击,3,8,37.5
2025/5/22,我的课程页,已隐藏课程点击,2,8,25
2025/5/22,我的课程页,筛选项点击,2,8,25
2025/5/22,我的课程页,班主任辅导点击,1,8,12.5
2025/5/22,班课主页,课程大纲点击,5,8,62.5
2025/5/22,班课主页,课程环节点击,4,8,50
2025/5/22,班课主页,直播/录播课程点击,4,8,50
2025/5/22,班课主页,课件点击,2,8,25
2025/5/22,班课主页,金刚位功能点击,2,8,25
