url,other
/click/seasonPage/functionType,"{""seqid"":""1749124165672000"",""eventid"":""32703"",""appversion2"":""3.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749124165672"",""ip"":""112.48.53.19"",""functiontype"":""2"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-collie/3.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749124169992"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749124169277"",""net"":""Unknown""}"
/click/seasonPage/functionType,"{""seqid"":""1749120521188000"",""eventid"":""32703"",""appversion2"":""3.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749120521188"",""ip"":""27.19.35.53"",""functiontype"":""5"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-collie/3.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749120525210"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749120524840"",""net"":""wifi""}"
/click/seasonPage/functionType,"{""seqid"":""1749131729726000"",""eventid"":""32703"",""appversion2"":""2.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749131729726"",""ip"":""119.125.11.68"",""functiontype"":""5"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749131734213"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749131732962"",""net"":""ethernet""}"
/click/seasonPage/functionType,"{""seqid"":""1749054438281000"",""eventid"":""32703"",""appversion2"":""2.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749054438281"",""ip"":""171.109.21.211"",""functiontype"":""4"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749054439698"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749054439351"",""net"":""ethernet""}"
/click/seasonPage/functionType,"{""seqid"":""1749129828329000"",""eventid"":""32703"",""appversion2"":""3.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749129828329"",""ip"":""223.74.119.247"",""functiontype"":""3"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-collie/3.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749129831411"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749129830007"",""net"":""ethernet""}"
/click/seasonPage/functionType,"{""seqid"":""1749120467165000"",""eventid"":""32703"",""appversion2"":""3.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749120467165"",""ip"":""27.19.35.53"",""functiontype"":""5"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-collie/3.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749120470221"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749120469848"",""net"":""wifi""}"
/click/seasonPage/functionType,"{""seqid"":""1749129837076000"",""eventid"":""32703"",""appversion2"":""3.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749129837076"",""ip"":""223.74.119.247"",""functiontype"":""3"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-collie/3.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749129841416"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749129840014"",""net"":""ethernet""}"
/click/seasonPage/functionType,"{""seqid"":""1749120512859000"",""eventid"":""32703"",""appversion2"":""3.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749120512859"",""ip"":""27.19.35.53"",""functiontype"":""4"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-collie/3.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749120515219"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749120514848"",""net"":""wifi""}"
/click/seasonPage/functionType,"{""seqid"":""1749126506332000"",""eventid"":""32703"",""appversion2"":""3.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749126506332"",""ip"":""36.48.26.22"",""functiontype"":""5"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-collie/3.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749126512363"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749126511315"",""net"":""wifi""}"
/click/seasonPage/functionType,"{""seqid"":""1749054282337000"",""eventid"":""32703"",""appversion2"":""2.0.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1749054282337"",""ip"":""171.109.21.211"",""functiontype"":""5"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.0.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1749054284754"",""eventname"":""functionType"",""currentpage"":""seasonPage"",""newsdk"":""1"",""sendtime"":""1749054284346"",""net"":""ethernet""}"
