日期,页面名称,功能名称,细分,点击uv,曝光uv,点击率(%)
2025/5/21,我的课程页,个人中心功能点击,一对一课程,1,15,6.666666666666667
2025/6/10,我的课程页,个人中心功能点击,意见反馈,1,171,0.584795321637427
2025/6/30,我的课程页,个人中心功能点击,意见反馈,1,2093,0.047778308647874
2025/6/28,我的课程页,个人中心功能点击,意见反馈,6,3281,0.182871075891496
2025/6/27,我的课程页,个人中心功能点击,意见反馈,11,3899,0.282123621441395
2025/6/14,我的课程页,个人中心功能点击,意见反馈,14,3515,0.398293029871977
2025/6/23,我的课程页,个人中心功能点击,意见反馈,1,1836,0.054466230936819
2025/5/21,我的课程页,个人中心功能点击,意见反馈,1,15,6.666666666666667
2025/6/4,我的课程页,个人中心功能点击,意见反馈,1,81,1.234567901234568
2025/6/7,我的课程页,个人中心功能点击,意见反馈,3,963,0.311526479750779
2025/6/21,我的课程页,个人中心功能点击,意见反馈,15,5126,0.292625829106516
2025/6/8,我的课程页,个人中心功能点击,意见反馈,1,592,0.168918918918919
2025/6/24,我的课程页,个人中心功能点击,意见反馈,2,1068,0.187265917602996
2025/6/20,我的课程页,个人中心功能点击,意见反馈,2,3663,0.054600054600055
2025/6/18,我的课程页,个人中心功能点击,意见反馈,2,859,0.232828870779977
2025/5/30,我的课程页,个人中心功能点击,意见反馈,1,95,1.052631578947368
2025/5/22,我的课程页,个人中心功能点击,意见反馈,1,8,12.500000000000000
2025/6/17,我的课程页,个人中心功能点击,意见反馈,1,740,0.135135135135135
2025/6/13,我的课程页,个人中心功能点击,意见反馈,2,2449,0.081665986116782
2025/6/19,我的课程页,个人中心功能点击,意见反馈,5,1460,0.342465753424658
2025/6/25,我的课程页,个人中心功能点击,意见反馈,2,1023,0.195503421309873
2025/6/5,我的课程页,个人中心功能点击,意见反馈,1,86,1.162790697674419
2025/6/29,我的课程页,个人中心功能点击,意见反馈,2,1583,0.126342387871131
2025/6/22,我的课程页,个人中心功能点击,意见反馈,8,2054,0.389483933787731
2025/6/26,我的课程页,个人中心功能点击,意见反馈,3,1391,0.215672178289001
2025/6/16,我的课程页,个人中心功能点击,意见反馈,1,918,0.108932461873638
2025/7/2,我的课程页,个人中心功能点击,意见反馈,2,888,0.225225225225225
2025/6/15,我的课程页,个人中心功能点击,意见反馈,3,1951,0.153767298821117
2025/7/1,我的课程页,个人中心功能点击,意见反馈,1,986,0.101419878296146
2025/5/31,我的课程页,个人中心功能点击,检查更新,1,95,1.052631578947368
2025/6/19,我的课程页,个人中心功能点击,检查更新,5,1460,0.342465753424658
2025/6/21,我的课程页,个人中心功能点击,检查更新,34,5126,0.663285212641436
2025/6/20,我的课程页,个人中心功能点击,检查更新,12,3663,0.327600327600328
2025/6/30,我的课程页,个人中心功能点击,检查更新,10,2093,0.477783086478739
2025/7/1,我的课程页,个人中心功能点击,检查更新,5,986,0.507099391480730
2025/6/29,我的课程页,个人中心功能点击,检查更新,15,1583,0.947567909033481
2025/6/7,我的课程页,个人中心功能点击,检查更新,12,963,1.246105919003115
2025/6/28,我的课程页,个人中心功能点击,检查更新,26,3281,0.792441328863151
2025/5/22,我的课程页,个人中心功能点击,检查更新,2,8,25.000000000000000
2025/6/14,我的课程页,个人中心功能点击,检查更新,41,3515,1.166429587482219
2025/6/27,我的课程页,个人中心功能点击,检查更新,26,3899,0.666837650679661
2025/5/23,我的课程页,个人中心功能点击,检查更新,1,4,25.000000000000000
2025/6/15,我的课程页,个人中心功能点击,检查更新,18,1951,0.922603792926704
2025/6/6,我的课程页,个人中心功能点击,检查更新,4,606,0.660066006600660
2025/6/26,我的课程页,个人中心功能点击,检查更新,8,1391,0.575125808770669
2025/6/9,我的课程页,个人中心功能点击,检查更新,3,201,1.492537313432836
2025/7/2,我的课程页,个人中心功能点击,检查更新,5,888,0.563063063063063
2025/6/5,我的课程页,个人中心功能点击,检查更新,2,86,2.325581395348837
2025/6/25,我的课程页,个人中心功能点击,检查更新,5,1023,0.488758553274682
2025/6/10,我的课程页,个人中心功能点击,检查更新,1,171,0.584795321637427
2025/5/26,我的课程页,个人中心功能点击,检查更新,1,16,6.250000000000000
2025/6/16,我的课程页,个人中心功能点击,检查更新,3,918,0.326797385620915
2025/6/17,我的课程页,个人中心功能点击,检查更新,5,740,0.675675675675676
2025/6/24,我的课程页,个人中心功能点击,检查更新,12,1068,1.123595505617978
2025/5/21,我的课程页,个人中心功能点击,检查更新,3,15,20.000000000000000
2025/6/8,我的课程页,个人中心功能点击,检查更新,2,592,0.337837837837838
2025/6/4,我的课程页,个人中心功能点击,检查更新,3,81,3.703703703703704
2025/6/23,我的课程页,个人中心功能点击,检查更新,11,1836,0.599128540305011
2025/6/3,我的课程页,个人中心功能点击,检查更新,1,15,6.666666666666667
2025/6/22,我的课程页,个人中心功能点击,检查更新,14,2054,0.681596884128530
2025/6/18,我的课程页,个人中心功能点击,检查更新,9,859,1.047729918509895
2025/6/13,我的课程页,个人中心功能点击,检查更新,27,2449,1.102490812576562
2025/5/30,我的课程页,个人中心功能点击,清除缓存,1,95,1.052631578947368
2025/6/28,我的课程页,个人中心功能点击,清除缓存,22,3281,0.670527278268820
2025/6/22,我的课程页,个人中心功能点击,清除缓存,13,2054,0.632911392405063
2025/6/15,我的课程页,个人中心功能点击,清除缓存,19,1951,0.973859559200410
2025/6/5,我的课程页,个人中心功能点击,清除缓存,1,86,1.162790697674419
2025/5/31,我的课程页,个人中心功能点击,清除缓存,1,95,1.052631578947368
2025/6/23,我的课程页,个人中心功能点击,清除缓存,9,1836,0.490196078431373
2025/6/26,我的课程页,个人中心功能点击,清除缓存,6,1391,0.431344356578001
2025/6/13,我的课程页,个人中心功能点击,清除缓存,19,2449,0.775826868109432
2025/6/4,我的课程页,个人中心功能点击,清除缓存,1,81,1.234567901234568
2025/5/21,我的课程页,个人中心功能点击,清除缓存,1,15,6.666666666666667
2025/6/19,我的课程页,个人中心功能点击,清除缓存,7,1460,0.479452054794521
2025/6/24,我的课程页,个人中心功能点击,清除缓存,7,1068,0.655430711610487
2025/6/29,我的课程页,个人中心功能点击,清除缓存,13,1583,0.821225521162350
2025/6/12,我的课程页,个人中心功能点击,清除缓存,2,205,0.975609756097561
2025/6/14,我的课程页,个人中心功能点击,清除缓存,45,3515,1.280227596017070
2025/6/25,我的课程页,个人中心功能点击,清除缓存,6,1023,0.586510263929619
2025/6/9,我的课程页,个人中心功能点击,清除缓存,1,201,0.497512437810945
2025/6/30,我的课程页,个人中心功能点击,清除缓存,8,2093,0.382226469182991
