log_dt,log_time,action_dt,action_tp,user_id,url,url_cut,product_id,hostproduct_id,order_id,less_id,episode_id,log_grade_id,teacher_id,device_type,device_id,model,manufacturer,brand,client_type,app_version,client_tag,client_ip,ip_country,ip_province,ip_city,ip_city_type,ip_isp,screen_width,screen_height,screen_size,os_version,duration,vendor,preinstall_vendor,request_url,question_id,keyfrom,channel_id,sheet_id,seq_id,other,client_tag_new,device_type_new,user_agent,dt,category,page_tp
2025/7/3,04:26.7,2025/7/3,1751529863314,1020576016,/click/seasonPage/episodeClick,/click/seasonPage/episodeClick,37000005,37000005,,13424350,159600414,,,windows,8462EC35-FFEB-4CC7-9BEF-B9D2A16B63D6,System Product Name,asus,,Husky,2.2.0,tutor,183.197.180.109,中国,河北省,张家口市,四线城市,中国移动,1920,1080,,10.0.19045,,unset,,,,,,,1751529863314000,"{""seqid"":""1751529863314000"",""eventid"":""32706"",""appversion2"":""2.2.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1751529863314"",""ip"":""183.197.180.109"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1751529866734"",""episodetype"":""0"",""eventname"":""episodeClick"",""currentpage"":""seasonPage"",""newsdk"":""1"",""episodestatus"":""4"",""sendtime"":""1751529865964"",""net"":""ethernet""}",husky,windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36",2025/7/3,click,S
2025/7/3,37:59.9,2025/7/3,1751506676581,526954145,/click/seasonPage/episodeClick,/click/seasonPage/episodeClick,37000005,37000005,,13424322,159599816,,,windows,7EFEC257-EBFF-435A-BF3A-20C8C2D28CE4,Inspiron 3558,dell inc.,,Husky,2.2.0,tutor,122.141.115.156,中国,吉林省,辽源市,五线城市,中国联通,1366,768,,6.1.7601,,unset,,,,,,,1751506676581000,"{""seqid"":""1751506676581000"",""eventid"":""32706"",""appversion2"":""2.2.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1751506676581"",""ip"":""122.141.115.156"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1751506679874"",""episodetype"":""1"",""eventname"":""episodeClick"",""currentpage"":""seasonPage"",""newsdk"":""1"",""episodestatus"":""4"",""sendtime"":""1751506679199"",""net"":""wifi""}",husky,windows,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36",2025/7/3,click,S
2025/7/3,26:12.2,2025/7/3,1751531171385,276651356,/click/seasonPage/episodeClick,/click/seasonPage/episodeClick,37000005,37000005,,13596934,162689704,,,windows,7DC6E5F1-89BB-47EC-BA9F-51E3894E251B,WRTD-WXX9,huawei,,Husky,2.2.0,tutor,27.156.216.131,中国,福建省,宁德市,三线城市,中国电信,1728,1152,,10.0.22000,,unset,,,,,,,1751531171385000,"{""seqid"":""1751531171385000"",""eventid"":""32706"",""appversion2"":""2.2.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1751531171385"",""ip"":""27.156.216.131"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1751531172177"",""episodetype"":""0"",""eventname"":""episodeClick"",""currentpage"":""seasonPage"",""newsdk"":""1"",""episodestatus"":""2"",""sendtime"":""1751531171434"",""net"":""wifi""}",husky,windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36",2025/7/3,click,S
2025/7/3,12:10.8,2025/7/3,1751508727262,341414958,/click/seasonPage/episodeClick,/click/seasonPage/episodeClick,28000006,28000006,,13536643,161628796,,,windows,5CE8E803-5D6D-489E-8F03-B5283187B3F9,Inspiron 7591,dell inc.,,Collie,3.2.0,tutor,61.166.195.3,中国,云南省,昆明市,二线城市,中国电信,1536,864,,10.0.22631,,unset,,,,,,,1751508727262000,"{""seqid"":""1751508727262000"",""eventid"":""32706"",""appversion2"":""3.2.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1751508727262"",""ip"":""61.166.195.3"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-collie/3.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1751508730775"",""episodetype"":""1"",""eventname"":""episodeClick"",""currentpage"":""seasonPage"",""newsdk"":""1"",""episodestatus"":""4"",""sendtime"":""1751508730020"",""net"":""wifi""}",collie,windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-collie/3.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36",2025/7/3,click,S
2025/7/3,23:23.2,2025/7/3,1751538197530,403020588,/click/seasonPage/episodeClick,/click/seasonPage/episodeClick,37000005,37000005,,13424251,159598309,,,windows,13A83DD9-AF36-4EB5-934D-B78FFEBDF1D5,NBLL-WXX9,huawei,,Husky,2.2.0,tutor,183.213.211.88,中国,江苏省,镇江市,三线城市,中国移动,1920,1080,,10.0.22631,,unset,,,,,,,1751538197530000,"{""seqid"":""1751538197530000"",""eventid"":""32706"",""appversion2"":""2.2.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1751538197530"",""ip"":""183.213.211.88"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1751538203241"",""episodetype"":""0"",""eventname"":""episodeClick"",""currentpage"":""seasonPage"",""newsdk"":""1"",""episodestatus"":""4"",""sendtime"":""1751538202244"",""net"":""wifi""}",husky,windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36",2025/7/3,click,S
2025/7/3,24:13.2,2025/7/3,1751538247338,403020588,/click/seasonPage/episodeClick,/click/seasonPage/episodeClick,37000005,37000005,,13404404,159264916,,,windows,13A83DD9-AF36-4EB5-934D-B78FFEBDF1D5,NBLL-WXX9,huawei,,Husky,2.2.0,tutor,183.213.211.88,中国,江苏省,镇江市,三线城市,中国移动,1920,1080,,10.0.22631,,unset,,,,,,,1751538247338000,"{""seqid"":""1751538247338000"",""eventid"":""32706"",""appversion2"":""2.2.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1751538247338"",""ip"":""183.213.211.88"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1751538253212"",""episodetype"":""0"",""eventname"":""episodeClick"",""currentpage"":""seasonPage"",""newsdk"":""1"",""episodestatus"":""4"",""sendtime"":""1751538252242"",""net"":""wifi""}",husky,windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36",2025/7/3,click,S
2025/7/3,43:30.0,2025/7/3,1751539405144,306261480,/click/seasonPage/episodeClick,/click/seasonPage/episodeClick,28000006,28000006,,13567882,162763497,,,windows,815F1F47-15E5-4232-A840-005591834009,MDG-XX,huawei,,Collie,3.1.0,tutor,120.239.54.160,中国,广东省,佛山市,新一线,中国移动,1536,960,,10.0.22631,,unset,,,,,,,1751539405144000,"{""seqid"":""1751539405144000"",""eventid"":""32706"",""appversion2"":""3.1.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1751539405144"",""ip"":""120.239.54.160"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-collie/3.1.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1751539410038"",""episodetype"":""0"",""eventname"":""episodeClick"",""currentpage"":""seasonPage"",""newsdk"":""1"",""episodestatus"":""2"",""sendtime"":""1751539409333"",""net"":""Unknown""}",collie,windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-collie/3.1.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36",2025/7/3,click,S
2025/7/3,48:52.8,2025/7/3,1751503731664,192304378,/click/seasonPage/episodeClick,/click/seasonPage/episodeClick,37000005,37000005,,13424344,159600257,,,windows,BC9AD3AC-ACDE-459A-9146-A1F902E71FAB,MS-7D48,"micro-star international co., ltd.",,Husky,2.2.0,tutor,223.90.168.148,中国,河南省,开封市,三线城市,中国移动,1334,750,,10.0.22631,,unset,,,,,,,1751503731664000,"{""seqid"":""1751503731664000"",""eventid"":""32706"",""appversion2"":""2.2.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1751503731664"",""ip"":""223.90.168.148"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1751503732786"",""episodetype"":""0"",""eventname"":""episodeClick"",""currentpage"":""seasonPage"",""newsdk"":""1"",""episodestatus"":""4"",""sendtime"":""1751503733869"",""net"":""ethernet""}",husky,windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36",2025/7/3,click,S
2025/7/3,19:44.0,2025/7/3,1751548779132,164786144,/click/seasonPage/episodeClick,/click/seasonPage/episodeClick,37000005,37000005,,13297963,157717985,,,windows,1A692E9C-31F2-4050-95DB-D60730A3B5B1,H410M K,"gigabyte technology co., ltd.",,Husky,2.1.0,tutor,106.114.245.226,中国,河北省,石家庄市,二线城市,中国电信,1920,1080,,10.0.19045,,unset,,,,,,,1751548779132000,"{""seqid"":""1751548779132000"",""eventid"":""32706"",""appversion2"":""2.1.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1751548779132"",""ip"":""106.114.245.226"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.1.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1751548784029"",""episodetype"":""0"",""eventname"":""episodeClick"",""currentpage"":""seasonPage"",""newsdk"":""1"",""episodestatus"":""4"",""sendtime"":""1751548782887"",""net"":""wifi""}",husky,windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.1.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36",2025/7/3,click,S
2025/7/3,23:23.5,2025/7/3,1751531001192,170460874,/click/seasonPage/episodeClick,/click/seasonPage/episodeClick,37000005,37000005,,13596934,162689704,,,windows,9F9F7F5D-049C-495D-988F-5DAE9E5AFAE5,BoDE-WXX9,huawei,,Husky,2.2.0,tutor,223.102.167.165,中国,辽宁省,丹东市,四线城市,中国移动,1536,864,,10.0.22635,,unset,,,,,,,1751531001192000,"{""seqid"":""1751531001192000"",""eventid"":""32706"",""appversion2"":""2.2.0"",""froghost"":""frog.yuanfudao.com"",""ostype"":""Windows"",""eventaction"":""click"",""timestamp"":""1751531001192"",""ip"":""223.102.167.165"",""operator"":""unknown"",""frogversion"":""v3"",""ua"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36"",""language"":""zh-CN"",""receivetime"":""1751531003484"",""episodetype"":""0"",""eventname"":""episodeClick"",""currentpage"":""seasonPage"",""newsdk"":""1"",""episodestatus"":""2"",""sendtime"":""1751531002659"",""net"":""wifi""}",husky,windows,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) tutor-electron-husky/2.2.0 Chrome/85.0.4183.121 Electron/10.1.5 Safari/537.36",2025/7/3,click,S
