even_url,event_type,event_name,page_name
/expose/tutorNewPc/homepageExpose,曝光,我的课程/图书页面曝光,我的课程页
/click/tutorNewPc/seasonCardClick,点击,班课卡片点击,我的课程页
/click/tutorNewPc/searchClick,点击,搜索点击,我的课程页
/click/tutorNewPc/mentorClick,点击,班主任辅导点击,我的课程页
/click/tutorNewPc/homepageClick,点击,我的课程/图书切tab点击,我的课程页
/click/tutorNewPc/hideEpisodeClick,点击,已隐藏课程点击,我的课程页
/click/tutorNewPc/filterClick,点击,筛选项点击,我的课程页
/click/userInfo/userInfoClick,点击,个人中心点击,我的课程页
/click/userInfo/function,点击,个人中心功能点击,我的课程页
/click/userInfo/tabClick,点击,设置弹窗切tab点击,设置页
/expose/seasonPage/seasonPageExpose,曝光,班课主页曝光,班课主页
/click/seasonPage/coursewareClick,点击,课件点击,班课主页
/click/seasonPage/episodeClick,点击,直播/录播课程点击,班课主页
/click/seasonPage/episodeLinkClick,点击,课程环节点击,班课主页
/click/seasonPage/episodeSyllabusClick,点击,课程大纲点击,班课主页
/click/seasonPage/functionType,点击,金刚位功能点击,班课主页
/click/seasonPage/moreClick,点击,「更多」点击,班课主页
/click/seasonPage/reportClick,点击,报告点击,班课主页
/click/seasonPage/toolClick,点击,工具栏功能点击,班课主页
